,AF00,AF01,AF02,AF03,AF04,AF05,AF06,AF07,AF08,AF09,AF10,AF11,AF12,AF13,AF14,AF15
PC0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PC1,-,-,-,-,-,-,SAI1_SD_A,DFSDM1_CKIN4,-,-,-,-,-,-,-,EVENTOUT
PC2,-,-,-,-,-,SPI2_MISO,-,DFSDM1_CKIN1,-,-,-,-,-,-,-,EVENTOUT
PC3,-,-,-,-,-,SPI2_MOSI/I2S2_SD,-,DFSDM1_DATIN1,-,-,-,-,-,-,-,EVENTOUT
PC4,-,-,-,-,-,-,DFSDM1_CKIN2,I2S1_MCK,SPDIF_RX2,ETH_MII_RXD0/ETH_RMII_RXD0,FMC_SDNE0,-,-,-,-,EVENTOUT
PC5,-,-,-,-,-,-,DFSDM1_DATIN2,-,SPDIF_RX3,ETH_MII_RXD1/ETH_RMII_RXD1,FMC_SDCKE0,-,-,-,-,EVENTOUT
PC6,-,-,TIM3_CH1,-,-,I2S2_MCK,SAI1_SD_B,DFSDM1_CKIN3,USART6_TX,SDIO_D6,-,-,FMC_NBL0,-,-,EVENTOUT
PC7,-,-,TIM3_CH2,-,-,-,SAI1_MCLK_A,DFSDM1_DATIN3,USART6_RX,SDIO_D7,-,I2S3_MCK,FMC_INT1,-,-,EVENTOUT
PC8,-,-,TIM3_CH3,-,-,-,-,-,USART6_CK,SDIO_D0,TIM8_CH1N,TIM12_CH1,-,FMC_NBL1,-,EVENTOUT
PC9,MCO_2,-,TIM3_CH4,-,I2C3_SDA,-,I2S_CKIN,-,-,SDIO_D1,TIM8_CH2N,-,-,-,-,EVENTOUT
PC10,-,-,-,-,-,-,SPI3_SCK/I2S3_CK,-,-,SDIO_D2,UART4_TX,-,DCMI_D8,-,-,EVENTOUT
PC11,-,-,-,-,-,SPI3_MISO,-,-,-,SDIO_D3,UART4_RX,-,DCMI_D4,-,-,EVENTOUT
PC12,-,-,-,-,-,-,SPI3_MOSI/I2S3_SD,-,-,SDIO_CK,UART5_TX,-,DCMI_D9,-,-,EVENTOUT
PC13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PC14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PC15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENTOUT
PD0,-,-,-,-,-,-,-,-,SPI4_MISO,-,-,-,FMC_D2,-,-,EVENTOUT
